simulated_provider_id,latitude,longitude,review_count,list_price
1,38.69769579,-77.1645788,0,11
2,39.04502294,-77.33440842,0,26
3,38.7868698,-77.5709648,0,21
4,38.91948488,-77.52971206,0,9
5,39.02304713,-77.0893604,0,29
6,38.79967054,-77.5705305,0,17
7,39.04403927,-77.48413957,0,27
8,39.04478485,-77.1009335,0,25
9,38.6659723,-77.09586294,0,17
10,38.7036406,-77.11527194,0,33
11,38.80167701,-77.48741353,0,25
12,38.74365729,-77.08871891,0,24
13,38.97391234,-77.47087372,0,30
14,38.81879602,-77.30391725,0,10
15,38.7879471,-77.55536452,0,20
16,38.95742771,-77.50495307,0,31
17,38.81304107,-77.50986176,0,13
18,38.89853193,-77.10268164,0,14
19,38.67091593,-77.51450031,0,23
20,38.81698231,-77.28592291,0,27
21,39.04008651,-77.28932207,0,27
22,38.95147963,-77.14695982,0,31
23,38.7684274,-77.0969381,0,28
24,38.81323878,-77.1279492,0,19
25,38.78434815,-77.61323914,0,21
26,39.02022857,-77.1109609,0,12
27,38.86056707,-77.40693904,0,26
28,38.81026841,-77.51183688,0,14
29,38.70407426,-77.45402788,0,34
30,38.86056824,-77.4730534,0,22
31,38.7700759,-77.11403921,0,25
32,38.78527565,-77.25175314,0,30
33,38.69445074,-77.41538549,0,29
34,38.89559322,-77.23407983,0,26
35,38.7480406,-77.57581506,0,19
36,38.83940126,-77.48312085,0,34
37,38.97567946,-77.21106322,0,31
38,38.86243689,-77.5347044,0,15
39,38.9436594,-77.44214618,0,16
40,39.01249162,-77.5924604,0,20
41,39.03698968,-77.33236789,0,19
42,38.77011998,-77.17400618,0,11
43,38.6791355,-77.15318465,0,20
44,38.84749297,-77.57150515,0,15
45,38.78696347,-77.2534042,0,33
46,38.9744181,-77.23549531,0,14
47,38.78937401,-77.33151084,0,24
48,39.04420118,-77.09282515,0,25
49,38.81207763,-77.50974834,0,24
50,38.76200812,-77.37793028,0,15
51,38.91037444,-77.52932407,0,27
52,38.93587107,-77.30210708,0,27
53,38.89942782,-77.58753,0,10
54,38.84944806,-77.3428451,0,25
55,38.78239494,-77.60168528,0,13
56,38.69122928,-77.09524933,0,14
57,38.74997261,-77.2821321,0,17
58,38.69536658,-77.54153217,0,29
59,38.8229444,-77.13771584,0,13
60,38.90849533,-77.39057858,0,22
61,38.66779018,-77.52671315,0,15
62,38.884049,-77.55969866,0,22
63,38.66487793,-77.19819258,0,14
64,38.95729493,-77.30458538,0,10
65,38.96622942,-77.32236505,0,19
66,38.7236497,-77.10488899,0,33
